Tamim Iqbal
Shakib Al Hasan
Mushfiqur Rahim
Mahmudullah Riyad
Mustafizur Rahman
Taskin Ahmed
Liton Das
Soumya Sarkar
Mehidy Hasan
Mosaddek Hossain
Rubel Hossain
Virat Kohli
Rohit Sharma
Jasprit Bumrah
Hardik Pandya
KL Rahul
Ravindra Jadeja
Rishabh Pant
Shikhar Dhawan
Yuzvendra Chahal
Kuldeep Yadav
Bhuvneshwar Kumar
Babar Azam
Shaheen Afridi
Fakhar Zaman
Mohammad Rizwan
Shadab Khan
Imad Wasim
Haris Sohail
Shoaib Malik
Wahab Riaz
Usman Qadir
Imran Khan
Steve Smith
David Warner
Aaron Finch
Glenn Maxwell
Mitchell Starc
Pat Cummins
Adam Zampa
Alex Carey
Marcus Stoinis
Matthew Wade
Josh Hazlewood
Joe Root
Eoin Morgan
Jason Roy
Jos Buttler
Ben Stokes
Jofra Archer
Mark Wood
Adil Rashid
Chris Woakes
Tom Curran
Moeen Ali
Kane Williamson
Ross Taylor
Martin Guptill
Trent Boult
Lockie Ferguson
Colin de Grandhomme
Tim Southee
Kyle Jamieson
James Neesham
Tom Latham
Mitchell Santner
Quinton de Kock
Faf du Plessis
David Miller
Kagiso Rabada
Anrich Nortje
Lungi Ngidi
Rassie van der Dussen
Andile Phehlukwayo
Temba Bavuma
Heinrich Klaasen
Aiden Markram
Rashid Khan
Mohammad Nabi
Asghar Afghan
Rahmanullah Gurbaz
Hazratullah Zazai
Najibullah Zadran
Mohammad Shahzad
Gulbadin Naib
Dawlat Zadran
Karim Janat
Qais Ahmad
Chris Gayle
Andre Russell
Shai Hope
Kieron Pollard
Evin Lewis
Nicholas Pooran
Sheldon Cottrell
Hayden Walsh
Fabian Allen
Roston Chase
Alzarri Joseph
Simon Taufel
Aleem Dar
Kumar Dharmasena
Richard Kettleborough
Bruce Oxenford
Marais Erasmus
Paul Reiffel
Joel Wilson
Nitin Menon
Chris Gaffaney
Russell Domingo
Ravi Shastri
Matthew Hayden
Justin Langer
Chris Silverwood
Gary Stead
Mark Boucher
Lance Klusener
Phil Simmons
